corpus_id,source_group,categorical_match,topology_match,auxiliary_shell_match,occt_solids,freecad_solids,occt_shells,freecad_shells,occt_faces,freecad_faces,occt_volume,freecad_volume,volume_relative_difference,volume_within_tolerance,occt_bbox_diagonal,freecad_bbox_diagonal,bbox_relative_difference,bbox_within_tolerance,comparison_pass
C01,3D ContentCentral,True,True,True,2,2,2,2,51,51,200934.3071849523,200934.3071849523,0.0,True,160.37767956794985,160.37767924496228,2.0139184912377423e-09,True,True
C02,3D ContentCentral,True,True,True,3,3,3,3,45,45,47051.68796759643,47051.68796759643,0.0,True,103.92542674342565,103.92304845413267,2.288457567606566e-05,False,True
C03,3D ContentCentral,True,True,True,1,1,1,1,197,197,80542.66422932189,80542.66422932189,0.0,True,366.22078043462756,366.2207800942594,9.294070093979308e-10,True,True
C04,3D ContentCentral,True,True,True,1,1,2,2,1317,1317,2052587.5263569234,2052464.6618834762,5.985833581736324e-05,True,724.2696161820121,724.2573501824174,1.693568157576566e-05,False,True
D01,3Dfindit,True,True,True,5,5,5,5,308,308,160514.74456515268,160514.74456515268,0.0,True,162.39140935303203,162.3643633226942,0.00016654840576592125,False,True
D02,3Dfindit,True,True,True,1,1,1,1,98,98,29370.5253744438,29370.5253744438,0.0,True,68.94200495779043,68.94200461257273,5.0073637976031176e-09,True,True
D03,3Dfindit,True,True,True,2,2,2,2,458,458,453664.83692637226,453664.83692637226,0.0,True,311.26626803657877,311.2482174918768,5.799068693123815e-05,False,True
D04,3Dfindit,True,True,True,3,3,3,3,341,341,118918.92930442459,118918.92930442459,0.0,True,135.84662899122873,135.83629853614238,7.604498663720255e-05,False,True
F001,Fusion360Gallery,True,True,True,1,1,1,1,4,4,235.61944901923448,235.61944901923448,0.0,True,28.301943685902565,28.30194339616981,1.0237203372324204e-08,True,True
F002,Fusion360Gallery,True,True,True,1,1,1,1,3,3,62.83185307179586,62.83185307179586,0.0,True,20.199010114359567,20.199009876724155,1.176470581713528e-08,True,True
F003,Fusion360Gallery,True,True,True,1,1,1,1,4,4,1057.883240494521,1057.883240494521,0.0,True,24.49489775443041,24.49489742783178,1.3333333091682624e-08,True,True
F004,Fusion360Gallery,True,True,True,1,1,1,1,4,4,295.2393440604394,295.2393440604394,0.0,True,21.834568645301516,21.834568348621683,1.358762050766301e-08,True,True
F005,Fusion360Gallery,True,True,True,1,1,1,1,3,3,2887.57756781861,2887.57756781861,0.0,True,37.04838764916852,37.04838730674359,9.24264043527004e-09,True,True
F006,Fusion360Gallery,True,True,True,1,1,1,1,36,36,85.27616192890802,85.27616192890802,0.0,True,25.429530918830118,25.429501550427673,1.1548935974440796e-06,False,True
F007,Fusion360Gallery,True,True,True,1,1,1,1,22,22,220.22078981673687,220.22078981673687,0.0,True,21.61748178876797,21.617481496362256,1.352635420248284e-08,True,True
F008,Fusion360Gallery,True,True,True,1,1,1,1,6,6,146.60009504737974,146.60009504737974,0.0,True,20.534438706842856,20.534438453348017,1.2344863327445585e-08,True,True
F009,Fusion360Gallery,True,True,True,1,1,1,1,5,5,102.11468534192772,102.11468534192772,0.0,True,28.29212718604084,28.292126898563925,1.0161021589906192e-08,True,True
